# Wavelength (m) ,Observation: 19909,Observation: 27028,Observation: 16652,Observation: 31458,Observation: 47548,Observation: 21100,Observation: 11768,Observation: 36969,Observation: 36656,Observation: 14915,Observation: 16766,Observation: 18197,Observation: 30915,Observation: 41090,Observation: 48054,Observation: 39451,Observation: 36999,Observation: 23674,Observation: 23095,Observation: 30768,Observation: 31991,Observation: 31544,Observation: 38008,Observation: 16076,Observation: 43937,Observation: 42251,Observation: 36537,Observation: 15338,Observation: 23522,Observation: 47565
6.641E-07,121.9955404966,144.9476821289,124.1847488376,145.147579557,125.2261703755,114.0322431011,130.1763663474,123.3547889336,102.1394137427,98.2464814906,160.3740372829,142.2897149495,133.2566446375,135.2797344693,101.7319205697,140.7950698709,126.6265812083,147.5072750108,130.488623996,96.9857261107,110.1089072646,124.8036899407,133.147762126,129.6470672341,118.5569445381,119.843232364,104.9266322526,130.0294464261,180.7618102942,146.4856862829
6.642E-07,136.1748004389,153.4830375246,132.3836172899,128.7988926791,119.1538739133,110.1315021425,131.9582923293,122.2910220873,108.9180922366,102.3939102761,166.0873860748,147.0186755038,118.5121654816,128.4240344032,106.8250888416,137.8719800198,130.9799143354,153.4544186987,132.1090360174,97.3415863642,111.4245402793,134.2370061906,129.1311990692,146.2322168076,102.2916314785,114.4323424403,118.3997065683,131.2142998532,175.2918653929,152.1745780578
6.643E-07,133.5756767736,151.5035259012,119.9636491784,144.927466244,129.013578808,124.6552472652,133.229148114,119.9923214945,108.1361362734,109.4252124562,166.2253197745,144.1518229769,121.2393163963,139.0618029898,110.1329826162,137.9854251878,123.7051427417,150.7503039595,141.1713964461,100.983085681,108.3613696991,118.0125904861,126.9083442562,132.2098686578,99.0394955233,115.6828916014,97.0747759242,143.9479723915,174.8965308738,143.7378701843
6.644E-07,120.2021856861,152.1865970453,140.8388913113,141.6870120882,124.9466838114,120.8841281511,127.7243002948,134.3542201137,115.2298940642,109.4958607113,164.4750200259,147.402929743,122.237118435,127.2586081498,112.4230194499,147.5480945806,124.8921153301,145.0763433354,134.9315170051,107.1115934,115.3695533719,120.515246099,124.0941309825,132.2938892251,102.3734534969,106.0677482796,115.5408457396,128.8295423441,175.2191636896,144.4988899904
6.645E-07,127.5360100826,148.8855163172,129.9466071436,140.8230605799,135.0842239205,123.8910579467,114.545086518,121.0699967252,113.985776413,100.1325671456,167.2609101162,143.7957530901,118.0319612856,136.8814456892,97.41628868,140.3734006094,122.5780012138,154.4432799131,142.5196627015,107.0754981864,114.6238024758,120.6413672937,131.9996393655,140.7970225653,98.1637514569,110.4351768043,102.4724394273,136.3122351327,169.5700735758,134.0160571242
6.646E-07,123.8213578938,157.9778960813,129.8416301059,133.4057558402,117.0644122391,109.8227236908,133.8367005789,124.4747485307,106.7369299772,104.1500994575,169.1700096503,134.4842935861,112.9556597191,125.4357930241,104.1396922543,139.3275246914,123.7327898806,142.1345830164,141.3506113259,90.6567608789,106.1817534533,129.4595592753,131.2914198117,136.8555048437,93.29320131,103.7289162193,103.089815328,136.5781511803,181.9646113584,150.6409922755
6.647E-07,125.8112617102,155.676460379,125.8914089684,142.291551872,115.7172313235,118.30783013,131.7409273111,132.342776211,117.134226555,93.8786235466,155.1486719674,138.8735821517,137.4073434668,130.2032192455,102.932606886,131.4662160374,128.5847541524,151.1933823749,150.1438072654,108.2604726955,109.8247804554,115.2636487765,127.7716502338,124.6141765651,99.6043391235,112.2460673617,111.0763088936,142.0667689842,177.7036463804,145.0029535119
6.648E-07,128.2895584628,147.6910247222,153.7152057158,138.4062399527,137.3690801878,128.2883381807,128.7494170487,123.8678790457,103.2513695935,108.9757508567,161.4331107832,141.6563094592,125.7092555194,135.9896665499,97.496771844,147.9905458796,120.5166606931,152.3380318715,131.497246293,103.7931664787,115.3615872952,121.9821773807,125.544406369,136.0542524339,108.0657438609,113.369174114,116.1205496173,124.6183747102,171.5603736041,137.0256467871
6.649E-07,122.9170662799,147.2052953005,124.8420200632,132.1865243755,118.7686667786,127.7368792359,130.7301844402,127.1272822782,111.5671407686,106.611760926,170.5284797177,146.2269495936,118.5193773038,134.2008443234,113.9588739444,126.5550455536,126.0727284316,150.5351372529,137.8401479237,101.1411673939,117.8620879334,130.6096746113,135.544411776,136.1433588938,102.8701203779,109.1274901873,118.1636321588,130.7218950986,170.7094675807,138.3629996363
0.000000665,125.4556618769,154.6417053707,137.0470409751,139.4089738442,118.8589589038,122.7440922449,113.6137301263,125.5899372769,108.416887814,119.4847671483,169.8458289973,145.9140373386,116.6637848603,122.1661767602,116.9803547143,130.5897220382,134.1425373679,150.3234096262,144.5376468301,93.7335648812,120.4012230198,130.0397261038,122.4051902917,130.8639055632,107.1787633866,115.1738995541,116.6286941749,136.584346765,172.2981333654,144.2468374308
6.651E-07,123.2807589337,147.1574232792,128.4142255926,141.2249257757,134.0416396779,111.0834711945,129.0766853962,127.8903376576,116.8435303408,94.8286104467,155.9887985782,149.2346971468,119.293548644,140.6861091708,93.9583117832,136.8700240899,121.8535901518,161.7157851203,136.0802530929,97.2885716112,102.7951734142,121.9677321593,119.3882470868,143.1505656814,99.8873916004,112.4528283833,110.0323788351,136.6953310542,176.3251161733,154.8680225193
6.652E-07,132.1374177205,154.28363475,129.6168310174,147.0570734989,115.9782312175,121.6316709074,120.7724512666,111.8394150986,117.8304836065,97.8398535632,165.2154262028,138.2010159467,110.6791875122,148.9289297243,105.5463932808,136.3947706492,113.8241169516,153.4873323162,141.1816814847,103.570399148,118.5183381319,126.1209129565,119.4790658725,138.502146771,101.579257099,108.5591113518,106.2271186019,132.40927709,172.9356095794,138.6525921295
6.653E-07,129.3432057735,145.5586412998,131.4320335262,140.5792070272,126.0171433647,125.0789695377,142.7069933055,120.4648368494,116.5584139461,96.5337681783,167.0243615731,143.4738548344,128.0311018928,140.0091959525,97.3187197185,140.1195329696,124.9085036048,155.8999105191,139.4695027926,100.4829378432,108.3368587123,111.592469753,124.4170179093,146.0526960576,96.1178564999,109.5236955429,114.3423895141,136.3131243172,165.9908770704,140.0232687406
6.654E-07,135.7143919063,148.2281582781,133.9601254561,134.5364734625,114.9575256824,119.3059533456,129.3033465836,124.4062043561,105.9777307557,95.8048489682,164.9574718646,146.5452558089,126.945198529,129.3130484248,95.7485509141,131.3186894192,127.8858181617,158.8352076971,127.3910728668,108.6525686344,103.2036028889,124.9322299583,124.533501661,131.0810969232,101.6961939263,114.9657745392,112.296640929,133.5702015409,187.8139038396,136.0548250467
6.655E-07,127.3116866624,148.4055984518,131.3196451535,135.9752841878,128.5034043341,129.2665854407,133.1014646514,123.8663401754,117.7414787302,111.3777519238,167.0637238431,139.8060354039,123.7396268658,137.7833435479,102.2903418741,142.5541100648,127.6901814326,139.6133235544,136.0629991324,107.1048263036,119.6709097036,128.9430011256,115.1272369435,133.1738925947,95.5141196213,113.8341378613,115.1180942228,128.9846773039,169.1616086617,141.2632133142
6.656E-07,130.0846905439,142.9738034217,123.1401677698,133.0170363879,124.9568326195,112.3468210332,131.1721828097,111.4548638748,125.9430391763,108.8761320849,165.5266588776,146.5053579872,125.8554327045,132.4798585751,106.541964989,138.8879156608,130.2133718436,158.3028729763,137.1572915434,102.4293267664,100.6209145655,128.440253949,115.6384464367,134.3850983306,108.7499241666,114.2321392604,112.2398230975,129.644066482,177.5874535596,145.6139917457
6.657E-07,128.7046700988,149.7136335131,135.6847961421,136.9367537501,117.2717275675,120.4274601895,121.8147940063,115.7126428759,118.5236469535,103.7734813141,161.8337512671,133.0617166806,125.8415147861,134.6676218168,100.1412736342,134.0938679008,127.7456262649,150.1495728366,126.4609602371,108.9126964293,111.6086569383,127.5855668353,134.2363517868,146.5434143653,97.5537972677,104.513810324,108.39237531,139.8329604265,176.9041638231,137.4298237153
6.658E-07,122.9452974707,156.1089498377,123.4071209573,144.9448313676,129.793129259,126.1856160214,137.1985559223,129.7861640099,111.4032674351,109.1181190985,163.9273433709,144.8794406084,129.5516126748,137.7595992436,107.1632487036,140.1646321439,129.0180418804,160.2301851138,137.427053102,100.2109996472,110.7397187992,130.8917846134,124.4731876165,139.1223770392,108.1620350602,120.3472065152,99.5058134096,132.6283408149,168.6375671851,157.1175814005
6.659E-07,133.6650000345,166.5953340575,124.3299609927,132.9450778735,110.4139782132,122.8601910136,120.2646535089,125.860699515,113.5760771942,112.1115897471,166.5941999121,149.6269722815,116.5166487301,138.4900118297,108.3513323607,139.3861602851,135.0341658101,163.0829038456,131.7785946571,97.1657863222,110.0648600718,128.6047511289,131.5564648821,149.2143008531,104.33762384,116.3236700156,106.5354684894,126.5986523914,182.1032638701,145.5723934126
0.000000666,130.2099193084,147.4269886012,136.1028416086,146.8894221137,128.2814940176,126.7609475291,136.385241063,108.5466272009,118.4747953571,104.3582892876,159.4064280739,151.2862898532,108.0066965463,147.6821224672,83.879877328,139.7618106584,132.9820559107,147.7514197945,139.699861662,106.7612567446,112.8787126055,133.4189371814,125.2867653219,142.4778234641,106.3504014561,105.7609955949,104.8056322344,145.0022912375,171.6416105277,148.0216148001
6.661E-07,132.2153680594,149.7808551435,121.0618715101,131.5350918496,128.3130931246,131.7243306872,121.6861124135,118.933358906,110.3748454377,109.9830106985,158.6874785343,152.4411858853,119.1265569217,136.6201011976,106.9041765912,120.3210190899,136.3527411639,159.2725899733,133.2652703282,107.8815275436,109.7181456053,129.4383955614,138.096301873,147.5424556581,98.487172585,114.7064502934,110.4444789666,133.5989394195,178.9644735624,147.7292924538
6.662E-07,129.9625472381,155.1343757115,125.1032359777,134.5371918161,128.8735147896,116.4011047503,128.4611433172,118.9215908523,96.1073827367,98.0326793417,159.5464467515,134.4126036963,104.4153825048,132.267604978,92.1562254805,118.4476304587,127.7515926802,162.0144819415,141.3293268132,98.6287070599,109.4931806937,133.8744925696,131.7193837178,145.7880970437,108.153921319,108.6420751204,110.900843004,130.575066945,176.974130222,142.0936572334
